batsman,out,numberofballs,total_runs,average,strikerate,batting_type
TG Southee,6,90,115,19.16666667,127.7777778,0
R Tewatia,7,89,115,16.42857143,129.2134831,0
M Kartik,7,108,113,16.14285714,104.6296296,1
DJ Harris,3,101,111,37,109.9009901,0
HV Patel,8,68,107,13.375,157.3529412,1
JDP Oram,8,108,106,13.25,98.14814815,1
LJ Wright,4,60,106,26.5,176.6666667,1
Rashid Khan,12,63,105,8.75,166.6666667,0
RJ Quiney,7,102,103,14.71428571,100.9803922,1
DS Kulkarni,9,106,101,11.22222222,95.28301887,1
MS Gony,9,70,99,11,141.4285714,1
SD Chitnis,7,89,99,14.14285714,111.2359551,0
MJ Clarke,5,94,98,19.6,104.2553191,1
CJ Ferguson,6,116,98,16.33333333,84.48275862,1
MA Starc,6,98,96,16,97.95918367,1
S Curran,4,55,95,23.75,172.7272727,0
AJ Tye,7,70,92,13.14285714,131.4285714,1
PR Shah,8,91,92,11.5,101.0989011,0
DJ Jacobs,7,97,92,13.14285714,94.84536082,0
S Rana,5,81,91,18.2,112.345679,1
RT Ponting,8,127,91,11.375,71.65354331,1
AD Nath,10,98,90,9,91.83673469,0
S Hetmyer,5,73,90,18,123.2876712,0
MJ McClenaghan,11,70,88,8,125.7142857,0
Iqbal Abdulla,1,83,88,88,106.0240964,1
SL Malinga,12,99,88,7.333333333,88.88888889,1
AP Majumdar,4,76,87,21.75,114.4736842,0
J Archer,7,61,84,12,137.704918,1
RE Levi,6,73,83,13.83333333,113.6986301,0
LA Carseldine,3,68,81,27,119.1176471,1
WPUJC Vaas,7,73,81,11.57142857,110.9589041,0
Shahid Afridi,8,46,81,10.125,176.0869565,1
AD Mascarenhas,10,78,79,7.9,101.2820513,0
PJ Cummins,6,55,77,12.83333333,140,1
S Rutherford,5,53,77,15.4,145.2830189,1
B Akhil,7,55,76,10.85714286,138.1818182,0
IR Jaggi,5,97,76,15.2,78.35051546,1
TR Birt,5,58,75,15,129.3103448,1
Washington Sundar,6,50,75,12.5,150,0
M Klinger,4,77,73,18.25,94.80519481,0
RR Sarwan,3,75,73,24.33333333,97.33333333,0
L Livingstone,3,47,71,23.66666667,151.0638298,0
DL Chahar,6,44,71,11.83333333,161.3636364,0
K Rabada,6,78,70,11.66666667,89.74358974,1
AA Bilakhia,5,85,69,13.8,81.17647059,0
H Klaasen,5,57,67,13.4,117.5438596,1
RR Powar,3,63,67,22.33333333,106.3492063,0
R Singh,6,65,66,11,101.5384615,0
R Sharma,11,75,66,6,88,1
Mohammad Hafeez,8,82,64,8,78.04878049,1
CR Woakes,5,66,63,12.6,95.45454545,0
WD Parnell,9,75,63,7,84,1
Anirudh Singh,4,66,63,15.75,95.45454545,1
A Flintoff,2,53,62,31,116.9811321,1
S Aravind,3,56,59,19.66666667,105.3571429,1
WA Mota,5,73,56,11.2,76.71232877,0
JD Unadkat,7,53,55,7.857142857,103.7735849,1
M Rawat,5,69,55,11,79.71014493,0
I Sharma,7,61,55,7.857142857,90.16393443,1
J Suchith,2,46,54,27,117.3913043,0
Mohammed Shami,9,52,54,6,103.8461538,1
A Chopra,5,71,53,10.6,74.64788732,0
RR Rossouw,6,51,53,8.833333333,103.9215686,0
RP Singh,15,72,52,3.466666667,72.22222222,1
NM Coulter-Nile,7,50,52,7.428571429,104,1
Shoaib Malik,4,47,52,13,110.6382979,0
KB Arun Karthik,5,50,51,10.2,102,1
R Rampaul,5,49,51,10.2,104.0816327,1
RV Gomez,7,50,50,7.142857143,100,1
SB Bangar,6,58,49,8.166666667,84.48275862,1
VR Aaron,3,62,49,16.33333333,79.03225806,0
AG Paunikar,5,57,49,9.8,85.96491228,1
Yashpal Singh,4,66,47,11.75,71.21212121,0
Kuldeep Yadav,4,54,45,11.25,83.33333333,0
Sunny Singh,4,31,43,10.75,138.7096774,1
AB Barath,2,42,42,21,100,0
SK Trivedi,8,59,42,5.25,71.18644068,1
JDS Neesham,3,46,42,14,91.30434783,1
A Nehra,8,59,41,5.125,69.49152542,0
LPC Silva,2,25,40,20,160,0
S Dube,4,33,40,10,121.2121212,1
BR Dunk,3,35,40,13.33333333,114.2857143,0
Umar Gul,3,19,39,13,205.2631579,1
AUK Pathan,5,23,39,7.8,169.5652174,0
DJ Thornely,3,52,39,13,75,0
MM Patel,5,41,39,7.8,95.12195122,1
SP Jackson,2,31,38,19,122.5806452,0
JO Holder,5,31,38,7.6,122.5806452,0
Anureet Singh,4,46,37,9.25,80.43478261,0
S Narwal,4,27,37,9.25,137.037037,0
JJ Bumrah,3,38,37,12.33333333,97.36842105,1
Sohail Tanvir,3,29,36,12,124.137931,1
L Balaji,7,47,36,5.142857143,76.59574468,1
KW Richardson,3,39,36,12,92.30769231,0
Joginder Sharma,4,30,36,9,120,1
AN Ahmed,1,26,36,36,138.4615385,1
SN Thakur,4,21,36,9,171.4285714,0
A Kumble,2,46,35,17.5,76.08695652,0
B Sumanth,1,37,35,35,94.59459459,0
S Sreesanth,3,52,34,11.33333333,65.38461538,0
AP Dole,2,22,34,17,154.5454545,0
A Mithun,5,25,34,6.8,136,0
L Ronchi,3,34,34,11.33333333,100,0
M Santner,1,23,33,33,143.4782609,0
D Salunkhe,1,24,33,33,137.5,1
Basil Thampi,2,33,32,16,96.96969697,0
RJ Peterson,3,29,32,10.66666667,110.3448276,0
Mohammed Siraj,3,36,32,10.66666667,88.88888889,0
S Nadeem,14,77,32,2.285714286,41.55844156,1
S Sriram,2,36,31,15.5,86.11111111,1
T Taibu,3,26,31,10.33333333,119.2307692,1
M Markande,3,29,30,10,103.4482759,1
J Syed Mohammad,2,26,29,14.5,111.5384615,0
VH Zol,2,26,29,14.5,111.5384615,0
SB Jakati,2,29,28,14,96.55172414,1
M Lomror,2,24,28,14,116.6666667,1
JM Kemp,2,24,26,13,108.3333333,1
NL McCullum,3,21,26,8.666666667,123.8095238,0
AB Dinda,9,47,26,2.888888889,55.31914894,1
Sandeep Sharma,3,38,26,8.666666667,68.42105263,0
A Choudhary,2,20,25,12.5,125,0
S Chanderpaul,3,31,25,8.333333333,80.64516129,0
KC Cariappa,3,21,24,8,114.2857143,1
MA Khote,2,20,24,12,120,0
ER Dwivedi,2,14,24,12,171.4285714,1
PJ Sangwan,7,39,24,3.428571429,61.53846154,1
BMAJ Mendis,3,27,23,7.666666667,85.18518519,1
T Curran,3,27,23,7.666666667,85.18518519,1
J Arunkumar,3,23,23,7.666666667,100,0
NS Naik,2,31,23,11.5,74.19354839,0
SW Tait,3,26,23,7.666666667,88.46153846,1
MS Wade,3,33,22,7.333333333,66.66666667,1
GB Hogg,2,22,22,11,100,1
YS Chahal,4,48,22,5.5,45.83333333,1
